name,date,value
demandForecast,2024-04-06T05:00Z,402569.2
netGeneration,2024-04-06T04:00Z,422077.26
demandForecast,2024-04-06T04:00Z,416928.4
demandActual,2024-04-06T04:00Z,420997.26
totalInterchange,2024-04-06T04:00Z,2954
demandForecast,2024-04-06T03:00Z,430439.4
netGeneration,2024-04-06T03:00Z,437977.42
totalInterchange,2024-04-06T03:00Z,3286
demandActual,2024-04-06T03:00Z,435408.42
totalInterchange,2024-04-06T02:00Z,3193
demandActual,2024-04-06T02:00Z,445512.94
demandForecast,2024-04-06T02:00Z,439823
netGeneration,2024-04-06T02:00Z,447211.94
demandForecast,2024-04-06T01:00Z,443192.6
netGeneration,2024-04-06T01:00Z,449283.64
demandActual,2024-04-06T01:00Z,448704.64
totalInterchange,2024-04-06T01:00Z,1706
netGeneration,2024-04-06,447022.25
demandForecast,2024-04-06,440960.8
totalInterchange,2024-04-06,2603
demandActual,2024-04-06,445889.25
netGeneration,2024-04-05T23:00Z,446473.76
demandActual,2024-04-05T23:00Z,446352.76
totalInterchange,2024-04-05T23:00Z,3313
demandForecast,2024-04-05T23:00Z,438913.3
demandActual,2024-04-05T22:00Z,445228.67
totalInterchange,2024-04-05T22:00Z,4187
demandForecast,2024-04-05T22:00Z,436197.4
netGeneration,2024-04-05T22:00Z,446515.67
netGeneration,2024-04-05T21:00Z,442981.6
demandActual,2024-04-05T21:00Z,441463.6
totalInterchange,2024-04-05T21:00Z,4414
demandForecast,2024-04-05T21:00Z,432293.2
demandForecast,2024-04-05T20:00Z,430140.8
demandActual,2024-04-05T20:00Z,438231.4
totalInterchange,2024-04-05T20:00Z,4132
netGeneration,2024-04-05T20:00Z,439956.4
demandForecast,2024-04-05T19:00Z,430396.2
netGeneration,2024-04-05T19:00Z,440284.7
totalInterchange,2024-04-05T19:00Z,3689
demandActual,2024-04-05T19:00Z,438879.7
demandActual,2024-04-05T18:00Z,439159.22
totalInterchange,2024-04-05T18:00Z,3064
demandForecast,2024-04-05T18:00Z,433435.3
netGeneration,2024-04-05T18:00Z,440470.22
totalInterchange,2024-04-05T17:00Z,3180
netGeneration,2024-04-05T17:00Z,441355.36
demandForecast,2024-04-05T17:00Z,438104.4
demandActual,2024-04-05T17:00Z,442133.36
demandForecast,2024-04-05T16:00Z,443769.7
demandActual,2024-04-05T16:00Z,443962.25
totalInterchange,2024-04-05T16:00Z,2252
netGeneration,2024-04-05T16:00Z,441044.25
netGeneration,2024-04-05T15:00Z,442958.46
demandActual,2024-04-05T15:00Z,445343.46
totalInterchange,2024-04-05T15:00Z,1914
demandForecast,2024-04-05T15:00Z,448352.4
demandForecast,2024-04-05T14:00Z,450161.1
demandActual,2024-04-05T14:00Z,445979.19
totalInterchange,2024-04-05T14:00Z,1500
netGeneration,2024-04-05T14:00Z,444182.19
netGeneration,2024-04-05T13:00Z,443662.71
totalInterchange,2024-04-05T13:00Z,254
demandActual,2024-04-05T13:00Z,446056.71
demandForecast,2024-04-05T13:00Z,448341.2
demandForecast,2024-04-05T12:00Z,438807.6
demandActual,2024-04-05T12:00Z,438422.65
totalInterchange,2024-04-05T12:00Z,-74
netGeneration,2024-04-05T12:00Z,436214.65
demandForecast,2024-04-05T11:00Z,419764
totalInterchange,2024-04-05T11:00Z,194
netGeneration,2024-04-05T11:00Z,415265.91
demandActual,2024-04-05T11:00Z,416831.91
demandActual,2024-04-05T10:00Z,394384.21
netGeneration,2024-04-05T10:00Z,394768.21
demandForecast,2024-04-05T10:00Z,398350.8
totalInterchange,2024-04-05T10:00Z,1730
demandForecast,2024-04-05T09:00Z,384308.5
totalInterchange,2024-04-05T09:00Z,2533
netGeneration,2024-04-05T09:00Z,385450.52
demandActual,2024-04-05T09:00Z,384445.52
demandForecast,2024-04-05T08:00Z,379628.8
demandActual,2024-04-05T08:00Z,382810.43
totalInterchange,2024-04-05T08:00Z,3126
netGeneration,2024-04-05T08:00Z,385306.43
demandForecast,2024-04-05T07:00Z,379611.7
totalInterchange,2024-04-05T07:00Z,2874
demandActual,2024-04-05T07:00Z,387693.15
netGeneration,2024-04-05T07:00Z,389086.15
demandForecast,2024-04-05T06:00Z,391184.2
netGeneration,2024-04-05T06:00Z,398914.01
totalInterchange,2024-04-05T06:00Z,2938
demandActual,2024-04-05T06:00Z,397291.01
netGeneration,2024-04-05T05:00Z,412299.11
demandActual,2024-04-05T05:00Z,412109.11
totalInterchange,2024-04-05T05:00Z,2077
demandForecast,2024-04-05T05:00Z,404305.4
netGeneration,2024-04-05T04:00Z,429933.86
totalInterchange,2024-04-05T04:00Z,1776
demandForecast,2024-04-05T04:00Z,417596
demandActual,2024-04-05T04:00Z,429788.86
netGeneration,2024-04-05T03:00Z,447930.12
demandActual,2024-04-05T03:00Z,446290.12
demandForecast,2024-04-05T03:00Z,434021.7
totalInterchange,2024-04-05T03:00Z,1850
totalInterchange,2024-04-05T02:00Z,-198
netGeneration,2024-04-05T02:00Z,461064.1
demandForecast,2024-04-05T02:00Z,445117.9
demandActual,2024-04-05T02:00Z,459849.1
totalInterchange,2024-04-05T01:00Z,-581
demandForecast,2024-04-05T01:00Z,450089.2
netGeneration,2024-04-05T01:00Z,462865.41
demandActual,2024-04-05T01:00Z,462932.41
demandForecast,2024-04-05,448606.1
demandActual,2024-04-05,456714.83
netGeneration,2024-04-05,459427.83
totalInterchange,2024-04-05,1678
demandForecast,2024-04-04T23:00Z,444665.8
totalInterchange,2024-04-04T23:00Z,2146
netGeneration,2024-04-04T23:00Z,452872.94
demandActual,2024-04-04T23:00Z,451279.94
demandForecast,2024-04-04T22:00Z,440453
demandActual,2024-04-04T22:00Z,446525.12
totalInterchange,2024-04-04T22:00Z,3109
netGeneration,2024-04-04T22:00Z,448668.12
demandActual,2024-04-04T21:00Z,432839.93
netGeneration,2024-04-04T21:00Z,436259.93
totalInterchange,2024-04-04T21:00Z,3354
demandForecast,2024-04-04T21:00Z,436115.3
demandActual,2024-04-04T20:00Z,440254.73
demandForecast,2024-04-04T20:00Z,433003.6
netGeneration,2024-04-04T20:00Z,442551.73
totalInterchange,2024-04-04T20:00Z,3031
totalInterchange,2024-04-04T19:00Z,3725
demandActual,2024-04-04T19:00Z,439351.85
netGeneration,2024-04-04T19:00Z,443421.85
demandForecast,2024-04-04T19:00Z,433233.7
netGeneration,2024-04-04T18:00Z,443896.54
totalInterchange,2024-04-04T18:00Z,3547
demandForecast,2024-04-04T18:00Z,435454.9
demandActual,2024-04-04T18:00Z,440190.54
demandForecast,2024-04-04T17:00Z,438977.8
totalInterchange,2024-04-04T17:00Z,2586
demandActual,2024-04-04T17:00Z,442463.72
netGeneration,2024-04-04T17:00Z,444338.72
netGeneration,2024-04-04T16:00Z,444958.63
demandActual,2024-04-04T16:00Z,444489.63
totalInterchange,2024-04-04T16:00Z,2150
demandForecast,2024-04-04T16:00Z,443560.4
demandForecast,2024-04-04T15:00Z,448064
totalInterchange,2024-04-04T15:00Z,3192
demandActual,2024-04-04T15:00Z,446758.63
netGeneration,2024-04-04T15:00Z,448148.63
totalInterchange,2024-04-04T14:00Z,2554
demandActual,2024-04-04T14:00Z,447493.15
demandForecast,2024-04-04T14:00Z,449004.2
netGeneration,2024-04-04T14:00Z,449949.15
totalInterchange,2024-04-04T13:00Z,1222
demandActual,2024-04-04T13:00Z,446280.77
netGeneration,2024-04-04T13:00Z,447246.77
demandForecast,2024-04-04T13:00Z,444705.2
totalInterchange,2024-04-04T12:00Z,835
netGeneration,2024-04-04T12:00Z,437348.1
demandForecast,2024-04-04T12:00Z,433430.5
demandActual,2024-04-04T12:00Z,436191.1
totalInterchange,2024-04-04T11:00Z,1567
demandActual,2024-04-04T11:00Z,411923.2
netGeneration,2024-04-04T11:00Z,414112.2
demandForecast,2024-04-04T11:00Z,413804.1
demandForecast,2024-04-04T10:00Z,392719.4
demandActual,2024-04-04T10:00Z,388180.54
totalInterchange,2024-04-04T10:00Z,3136
netGeneration,2024-04-04T10:00Z,391633.54
netGeneration,2024-04-04T09:00Z,382426.15
totalInterchange,2024-04-04T09:00Z,4161
demandActual,2024-04-04T09:00Z,378286.15
demandForecast,2024-04-04T09:00Z,379738.3
demandForecast,2024-04-04T08:00Z,374957.9
demandActual,2024-04-04T08:00Z,377233.5
totalInterchange,2024-04-04T08:00Z,3840
netGeneration,2024-04-04T08:00Z,380676.5
demandActual,2024-04-04T07:00Z,382227.82
netGeneration,2024-04-04T07:00Z,387308.82
totalInterchange,2024-04-04T07:00Z,4885
demandForecast,2024-04-04T07:00Z,373442.4
